;time;be_de;be_fr;de_fr
8050;20201201_1000;339.3;500.0;500.0
8051;20201201_1100;0.0;452.1;547.9
8052;20201201_1200;0.0;433.6;550.1
8053;20201201_1300;274.8;377.5;377.5
8054;20201201_1400;402.0;204.8;204.8
8055;20201201_1500;376.6;21.0;21.0
8056;20201201_1600;0.0;0.0;0.0
8057;20201201_1700;0.0;0.0;0.0
8058;20201201_1800;0.0;0.0;0.0
8059;20201201_1900;0.0;0.0;0.0
8060;20201201_2000;0.0;0.0;0.0
8061;20201201_2100;0.0;0.0;0.0
8062;20201201_2200;0.0;0.0;0.0
8063;20201201_2300;0.0;0.0;0.0
8064;20201202_0000;0.0;0.0;0.0
8065;20201202_0100;0.0;0.0;0.0
8066;20201202_0200;0.0;0.0;0.0
8067;20201202_0300;300.7;24.3;24.3
8068;20201202_0400;347.8;99.8;99.8
8069;20201202_0500;438.5;44.6;44.6
8070;20201202_0600;429.4;5.4;5.4
8071;20201202_0700;394.7;56.2;56.2
8072;20201202_0800;465.4;185.7;185.7
8073;20201202_0900;452.1;256.6;256.6
8074;20201202_1000;441.7;287.8;287.8
8075;20201202_1100;420.9;293.9;293.9
8076;20201202_1200;436.3;270.9;270.9
8077;20201202_1300;478.3;203.5;203.5
8078;20201202_1400;492.6;63.9;63.9
8079;20201202_1500;0.0;0.0;0.0
8080;20201202_1600;437.3;39.6;39.6
8081;20201202_1700;175.0;20.1;20.1
8082;20201202_1800;325.3;33.9;33.9
8083;20201202_1900;320.1;37.1;37.1
8084;20201202_2000;310.8;0.3;0.3
8085;20201202_2100;404.3;121.3;121.3
8086;20201202_2200;313.4;16.8;16.8
8087;20201202_2300;265.7;120.2;120.2
8088;20201203_0000;0.0;0.0;0.0
8089;20201203_0100;153.1;17.8;17.8
8090;20201203_0200;40.5;73.6;73.6
8091;20201203_0300;0.0;143.6;143.6
8092;20201203_0400;0.0;176.9;176.9
8093;20201203_0500;0.0;222.4;222.4
8094;20201203_0600;0.0;225.9;227.5
8095;20201203_0700;0.0;32.4;649.4
8096;20201203_0800;0.0;0.0;759.1
8097;20201203_0900;0.0;186.1;813.9
8098;20201203_1000;0.0;0.0;761.0
8099;20201203_1100;0.0;338.0;662.0
8100;20201203_1200;0.0;0.0;345.1
8101;20201203_1300;0.0;309.2;674.4
8102;20201203_1400;125.4;85.8;85.8
8103;20201203_1500;245.8;22.4;22.4
8104;20201203_1600;0.0;0.0;0.0
8105;20201203_1700;0.0;0.0;0.0
8106;20201203_1800;345.2;48.4;48.4
8107;20201203_1900;269.8;1.6;1.6
8108;20201203_2000;234.8;2.2;2.2
8109;20201203_2100;0.0;0.0;0.0
