;time;be_de;be_fr;de_fr
4970;20200726_0200;389.2;184.8;184.8
4971;20200726_0300;283.3;175.0;266.9
4972;20200726_0400;477.5;458.8;458.8
4973;20200726_0500;329.1;489.0;489.0
4974;20200726_0600;292.5;433.1;433.1
4975;20200726_0700;223.5;350.0;350.0
4976;20200726_0800;220.0;322.6;322.6
4977;20200726_0900;349.1;272.3;272.3
4978;20200726_1000;410.1;243.1;243.1
4979;20200726_1100;737.8;17.9;14.5
4980;20200726_1200;0.0;0.0;0.0
4981;20200726_1300;0.0;0.0;0.0
4982;20200726_1400;580.8;48.5;46.5
4983;20200726_1500;292.0;41.7;41.7
4984;20200726_1600;295.2;44.4;44.4
4985;20200726_1700;346.6;47.6;47.6
4986;20200726_1800;322.9;83.9;83.9
4987;20200726_1900;337.6;92.3;92.3
4988;20200726_2000;349.2;164.2;164.2
4989;20200726_2100;449.0;105.4;105.4
4990;20200726_2200;474.1;80.0;80.0
4991;20200726_2300;256.9;12.0;12.0
4992;20200727_0000;247.0;39.4;39.4
4993;20200727_0100;369.8;135.3;135.3
4994;20200727_0200;435.0;223.2;223.2
4995;20200727_0300;532.5;378.1;336.6
4996;20200727_0400;904.0;385.8;357.2
4997;20200727_0500;466.0;528.7;471.3
4998;20200727_0600;469.5;521.1;478.9
4999;20200727_0700;479.0;512.4;487.6
5000;20200727_0800;573.8;449.1;424.5
5001;20200727_0900;582.7;364.5;349.4
5002;20200727_1000;730.6;226.1;181.8
5003;20200727_1100;687.0;167.8;75.3
5004;20200727_1200;674.6;0.0;0.0
5005;20200727_1300;547.1;113.0;52.9
5006;20200727_1400;450.5;108.1;66.2
5007;20200727_1500;487.9;30.3;16.0
5008;20200727_1600;478.0;24.8;9.9
5009;20200727_1700;424.6;88.3;28.4
5010;20200727_1800;355.8;191.9;115.6
5011;20200727_1900;415.8;125.1;104.4
5012;20200727_2000;580.5;116.4;72.4
5013;20200727_2100;776.6;110.2;110.2
5014;20200727_2200;237.2;53.0;57.9
5015;20200727_2300;0.0;0.0;0.0
5016;20200728_0000;342.5;0.0;0.0
5017;20200728_0100;275.5;3.1;3.1
5018;20200728_0200;506.1;222.0;176.2
5019;20200728_0300;258.9;115.4;163.8
5020;20200728_0400;217.6;50.4;47.4
5021;20200728_0500;3.3;0.0;0.0
5022;20200728_0600;284.3;0.0;0.0
5023;20200728_0700;254.4;0.0;0.0
5024;20200728_0800;343.7;45.4;41.8
5025;20200728_0900;760.6;69.2;63.7
5026;20200728_1000;413.4;211.7;211.7
5027;20200728_1100;842.0;255.1;127.6
5028;20200728_1200;849.2;136.5;52.8
5029;20200728_1300;855.6;0.0;0.0
5030;20200728_1400;667.2;123.6;48.0
5031;20200728_1500;599.3;88.0;37.1
5032;20200728_1600;326.1;105.4;105.4
5033;20200728_1700;292.2;125.9;125.9
5034;20200728_1800;279.2;163.3;163.3
5035;20200728_1900;374.9;128.0;128.0
5036;20200728_2000;671.7;97.9;97.9
5037;20200728_2100;244.4;54.8;63.5
5038;20200728_2200;189.2;12.0;12.0
5039;20200728_2300;506.5;71.1;71.1
5040;20200729_0000;344.9;152.2;152.2
5041;20200729_0100;823.4;398.6;333.3
5042;20200729_0200;822.1;134.9;125.8
5043;20200729_0300;466.4;127.0;119.0
5044;20200729_0400;561.4;152.6;143.6
5045;20200729_0500;387.6;162.2;152.3
5046;20200729_0600;434.8;133.9;124.5
5047;20200729_0700;245.1;337.3;337.3
5048;20200729_0800;310.2;333.1;333.1
5049;20200729_0900;336.9;344.0;344.0
5050;20200729_1000;459.7;306.6;306.6
5051;20200729_1100;792.8;333.7;253.1
5052;20200729_1200;884.2;268.7;193.6
