;time;be_de;be_fr;de_fr
2900;20200430_2000;263.4;400.3;599.6
2901;20200430_2100;269.6;413.1;586.8
2902;20200430_2200;299.8;468.7;531.2
2903;20200430_2300;296.6;470.6;529.3
2904;20200501_0000;316.8;500.0;500.0
2905;20200501_0100;307.8;500.0;500.0
2906;20200501_0200;308.1;500.0;500.0
2907;20200501_0300;298.6;500.0;500.0
2908;20200501_0400;302.7;491.0;509.0
2909;20200501_0500;264.3;443.1;556.9
2910;20200501_0600;238.7;397.1;602.8
2911;20200501_0700;217.3;416.8;564.0
2912;20200501_0800;304.8;427.3;495.0
2913;20200501_0900;326.6;413.1;460.8
2914;20200501_1000;346.9;420.3;446.7
2915;20200501_1100;376.7;421.7;444.1
2916;20200501_1200;378.4;419.2;438.3
2917;20200501_1300;359.8;414.5;443.9
2918;20200501_1400;362.4;412.2;436.9
2919;20200501_1500;355.2;435.6;469.5
2920;20200501_1600;321.2;465.2;493.8
2921;20200501_1700;304.6;496.4;503.6
2922;20200501_1800;371.4;491.6;491.6
2923;20200501_1900;243.3;391.8;608.1
2924;20200501_2000;250.1;400.8;599.1
2925;20200501_2100;266.2;433.7;566.3
2926;20200501_2200;408.1;438.7;438.7
2927;20200501_2300;421.3;500.0;500.0
2928;20200502_0000;382.9;500.0;500.0
2929;20200502_0100;406.4;494.6;505.4
2930;20200502_0200;395.3;492.2;507.8
2931;20200502_0300;394.9;499.1;500.9
2932;20200502_0400;360.5;500.0;500.0
2933;20200502_0500;328.5;485.0;515.0
2934;20200502_0600;307.5;462.8;523.6
2935;20200502_0700;347.2;325.5;363.1
2936;20200502_0800;383.6;303.7;314.8
2937;20200502_0900;382.9;320.2;320.2
2938;20200502_1000;417.5;266.5;266.5
2939;20200502_1100;453.5;224.6;224.6
2940;20200502_1200;404.2;338.4;338.4
2941;20200502_1300;292.5;76.2;76.2
2942;20200502_1400;309.8;35.1;35.1
2943;20200502_1500;426.2;99.6;99.6
2944;20200502_1600;303.4;282.7;298.3
2945;20200502_1700;327.9;481.7;481.7
